id,date,price
118357,2021-06-16,0.020580000000
119928,2021-06-01,1.131000000000
119933,2021-06-07,0.897300000000
119934,2021-06-08,0.968400000000
119935,2021-06-09,0.964500000000
119936,2021-06-10,0.907800000000
119937,2021-06-11,0.832600000000
119940,2021-06-14,0.936200000000
119941,2021-06-15,0.911300000000
119942,2021-06-16,0.896700000000
120969,2021-07-01,32951.930000000000
120974,2021-07-06,34734.960000000000
120976,2021-07-08,32857.350000000000
121074,2021-07-01,0.220600000000
121079,2021-07-06,0.275200000000
121081,2021-07-08,0.240300000000
121263,2021-07-01,2034.890000000000
121268,2021-07-06,2383.690000000000
121270,2021-07-08,2120.870000000000
121326,2021-07-01,0.016210000000
121331,2021-07-06,0.016610000000
121333,2021-07-08,0.015690000000
122292,2021-07-01,0.663500000000
122297,2021-07-06,0.765800000000
122299,2021-07-08,0.811800000000
122726,2021-07-22,32599.270000000000
122731,2021-07-22,0.213200000000
122741,2021-07-22,2077.180000000000
122744,2021-07-22,0.014770000000
122790,2021-07-22,0.642300000000
124353,2021-07-31,41737.510000000000
124416,2021-07-31,0.281600000000
124497,2021-07-31,2601.420000000000
124542,2021-07-31,0.017220000000
124965,2021-07-31,0.831100000000
